i,Error,Error_model,columns,parameter
1,0.6829484365776666,0.6829547448947705,['OverallQual'],"{'classifier__criterion': 'squared_error', 'classifier__max_depth': 50, 'classifier__min_samples_split': 4}"
2,0.6685975152074182,0.7806253986648262,"['OverallQual', 'GrLivArea']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5}"
3,0.7849421061034497,0.8086159641813354,"['OverallQual', 'GrLivArea', 'GarageCars']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 10, 'classifier__min_samples_split': 12}"
4,0.7083196117346631,0.7688473699739566,"['OverallQual', 'GrLivArea', 'GarageCars', 'GarageArea']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 20, 'classifier__min_samples_split': 12}"
5,0.7558896746376621,0.7753009843275198,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 200, 'classifier__min_samples_split': 12}"
6,0.7318165180190317,0.799354639544041,"['OverallQual', 'TotalBsmtSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 20, 'classifier__min_samples_split': 12}"
7,0.74915949608173,0.7889017947282403,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'GarageCars', 'GarageArea', 'ExterQual_TA']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 10, 'classifier__min_samples_split': 12}"
8,0.7450866117195043,0.8137032511905608,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 10, 'classifier__min_samples_split': 12}"
9,0.708565988837548,0.7960586527429142,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 200, 'classifier__min_samples_split': 12}"
10,0.7971342499548966,0.7905814351014473,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex', 'KitchenQual_TA']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 200, 'classifier__min_samples_split': 12}"
11,0.7610997064224821,0.7931153247956868,"['OverallQual', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex', 'KitchenQual_TA']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 15, 'classifier__min_samples_split': 12}"
12,0.780260764254086,0.8062651813783079,"['OverallQual', 'YearBuilt', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex', 'KitchenQual_TA']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 200, 'classifier__min_samples_split': 12}"
13,0.6676574785781729,0.7099488413953992,"['OverallQual', 'YearBuilt', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 50, 'classifier__min_samples_split': 12}"
14,0.7233719319068352,0.6676126811388396,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'BsmtQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 250, 'classifier__min_samples_split': 12}"
